year,region,sexo,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
2003,IV,H,14.37,61.15,83.35,97.33,83.35,87.13,73.05,65.90,36.84,92.79,69.79,20.53,22.59,107.19,77.88,22.05,9.74,4.37,38.70,66.47,71.59,8.25,65.69,28.41,72.76,58.0,69.9,8.5,34.1,19.2,10.6,4.0,78.7, ,8.5,21.0,16.3,16.9,40.8,10.9,24.7,1.2,47.2,61.6,3.9,488915,495339,268248
2006,IV,H,13.77,63.18,89.02,98.23,89.02,92.76,76.17,58.94,39.91,89.64,72.42,20.91,16.14,104.77,67.05,12.42,9.68,3.86,40.94,67.25,69.33,6.12,65.09,30.67,75.63,63.1,74.9,6.8,30.6,20.3,13.5,4.0,85.2, ,8.7,14.9,11.7,11.7,51.2,12.1,28.1,1.9,38.2,84.4,5.5,518270,527909,273036
2009,IV,H,10.22,69.05,92.62,99.23,92.62,95.46,73.11,63.11,39.98,92.30,70.24,24.63,18.68,103.17,58.62,12.96,9.90,3.25,33.39,66.93,70.38,6.71,65.67,29.62,75.95,59.4,75.1,6.9,29.6,19.7,13.5,3.6,85.2, ,12.6,15.4,12.6,12.8,66.8,25.4,39.4,1.7,42.0,90.8,6.1,607411,627151,358451
1990,IX,H,29.61,69.68,44.37,65.35,47.01,59.87,63.69,65.91,11.62,88.56,41.04,10.77,23.62,98.60,88.47,3.23,7.94,7.93,54.20,51.12,70.74,6.79,65.93,29.26,85.18,,58.2,10.6,37.5,20.9,11.5,4.3,73.3, ,3.2,46.0,40.4,40.9,,,,,,,,129924,131409,70351
1992,IX,H,28.10,60.48,55.02,80.27,55.60,71.96,66.20,69.19,15.18,88.91,38.62,10.86,37.90,96.33,111.26,29.40,8.19,7.00,46.83,52.91,72.84,4.21,69.77,27.16,81.49,49.0,63.3,10.9,38.4,21.7,10.3,4.3,71.9, ,4.8,40.8,36.4,37.0,,,,,,,,153389,156063,84757
1994,IX,H,22.20,72.08,56.67,86.04,58.15,74.59,65.24,72.04,12.18,92.56,47.49,9.34,32.48,104.13,82.71,30.93,8.38,5.01,50.52,52.48,75.01,4.46,71.66,24.99,75.72,58.9,59.9,11.7,37.9,19.0,10.3,4.0,74.9, ,3.3,34.6,29.5,29.4,,,,,,,,231217,233888,151194
1996,IX,H,23.70,73.97,56.47,77.18,56.47,72.61,73.94,68.15,21.73,90.68,48.33,14.55,40.63,109.44,94.80,35.24,8.22,6.69,47.29,59.52,75.32,5.56,71.14,24.68,72.65,45.8,61.4,9.2,36.9,20.2,10.8,4.2,73.3, ,10.6,34.9,30.4,30.2,,,,28.4,,,6.8,262188,268201,141330
1998,IX,H,21.97,78.41,63.29,84.77,63.29,77.86,72.28,69.86,19.35,94.05,47.86,16.37,32.95,105.36,92.31,31.34,8.66,6.82,50.48,59.93,71.79,7.39,66.48,28.21,74.43,49.1,60.3,9.9,37.2,19.1,10.4,4.2,73.4, ,7.7,34.2,28.6,28.9,,,,,,,,348583,356647,219125
2000,IX,H,21.25,78.73,66.52,91.30,66.52,81.86,73.17,66.80,20.52,94.67,58.26,15.94,29.56,105.13,83.53,26.21,8.94,6.10,47.49,62.97,72.01,9.74,65.00,27.99,71.29,49.3,66.5,9.7,35.7,18.0,10.9,4.1,75.3, ,12.7,32.4,27.7,28.0,17.6,5.3,11.2,26.2,34.4,52.6,7.8,407966,416503,260534
2003,IX,H,16.84,79.56,68.78,95.49,68.78,84.25,73.01,64.96,27.44,94.34,62.33,28.20,34.10,105.73,86.79,20.86,9.21,6.83,42.26,69.34,67.63,9.95,60.90,32.37,69.35,50.0,64.2,6.9,33.0,20.4,11.4,4.0,79.5, ,11.2,29.4,25.8,26.4,31.1,7.8,17.0,31.2,41.6,69.3,3.4,411935,423345,237587
