year,region,quintil,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
1996,I,V,4.84,85.02,95.64,99.48,95.64,98.76,61.07,64.12,48.75,97.13,71.63,52.72,109.17,107.09,12.35,0.08,15.48,29.82,63.68,0.43,63.4,36.32,91.81,70.91346154,57.45192308,6.474324258,24.3332841,19.43938424,8.895015837,3.273503814,24.09531781,70.99236641,0.125971027,,,,6.014803144,,,1.818390691,962252.1807,963236.7774,473408.8469
1998,I,V,2.73,78.09,95.55,99.7,95.55,95.82,60.76,51.31,49.14,92.94,86.61,67.22,103.97,123.32,12.25,0.45,22.13,31.14,62.91,2.58,61.28,37.09,89.67,62.64179244,58.83889283,3.484662972,23.0973708,20.42305709,16.76118056,3.031747582,33.28558482,79.97707455,0.26296018,,,,,,,,1065849.922,1066347.462,516286.7298
2000,I,V,4.21,90.06,97.15,99.59,97.15,97.77,59.7,59.73,52.1,99.49,70.73,52.52,116.22,113.92,12.76,0.39,22.49,24.51,65.79,6.03,61.83,34.21,87.32,71.94106129,65.28163907,5.724852575,19.02716706,22.93690561,13.87837884,2.944004014,40.18346266,65.9005647,9.967924994,34.4526638,27.66559031,52.442688,6.585056308,68.79403375,59.02233102,6.817999261,1313927.143,1314765.6,591925.2212
2003,I,V,3.11,85.87,97.55,98.08,97.55,98.52,68.56,49.62,40.5,91.87,68.57,45.26,93.24,100.94,12.88,0.03,11.57,31.42,67.14,0.04,67.11,32.86,83.9,70.72688402,60.61167748,6.737863227,24.55696942,22.71764379,8.837236483,3.158261431,32.5923358,47.20297124,2.546250249,61.978675,44.76896188,66.62333348,7.570308099,75.92829107,76.26207717,0.954774595,1267663.376,1268515.116,582678.1857
2006,I,V,2.92,85.74,98.54,99.83,98.54,98.99,50.84,58.48,56.31,91.16,78.38,56.65,91.75,119.55,11.3,0.26,25.03,21.43,64.87,3.8,62.41,35.13,89.95,55.98392806,44.15307284,5.582369315,19.91368523,20.544447,13.33537629,2.833502171,48.60163797,53.0654822,17.05982906,62.95471019,31.80608028,56.70782728,8.811075332,52.93038287,90.27267553,8.377494358,1154572.458,1155618.195,489771.9509
2009,I,V,4.88,83.24,96.64,99.56,96.64,98.45,57.67,42.25,55.49,100,71.42,55.49,121.06,82.4,12.89,0.85,19.74,30.51,72.41,2.28,70.76,27.59,92.6,53.01945129,60.63928041,5.618426308,25.54697555,18.63489105,10.67101584,2.902428029,47.71417952,54.27905622,10.74208614,79.01736239,59.17115778,67.77550641,5.245307564,71.38337501,98.17356494,6.822616614,1376838.449,1381200.496,662436.4557
1990,II,I,49.72,31.14,47.71,99.19,68.88,62.77,42.81,53.32,13.74,87.53,63.63,20.51,97.99,83.53,8.43,2.17,90.4,34.11,41.66,20.16,33.26,58.34,85.1,,80.77777778,15.22037517,49.38538966,21.42239845,4.226526359,5.072460031,85.68356778,35.06652475,4.587306807,,,,,,,,44088.13069,45687.86111,35588.59288
1992,II,I,51.26,34.09,75.06,99.03,78.11,78.74,50.25,55.75,12.29,83.58,52.35,22.3,100.22,70.24,8.64,1.79,76.26,30.5,43.34,17.7,35.67,56.66,87.87,64.33655065,83.11999452,17.15449171,47.24461532,21.51701186,4.154781099,4.748061635,79.1226153,55.92362274,3.618045875,,,,,,,,59165.16449,62353.58838,50784.97443
1994,II,I,40.68,34.39,82.99,97.61,86.04,87.84,62,48.68,14.69,87.59,63.42,23.6,97.75,79.43,8.49,4.41,79.1,33.54,43.45,14.15,37.3,56.55,76.26,64.62858109,66.68195819,14.19460129,47.68425594,18.72948283,7.041962896,5.070287236,80.43382027,46.74460353,5.413308045,,,,,,,,86068.67962,88705.76493,67215.04191
1996,II,I,50.14,52.74,90.62,99.17,90.62,93.28,61.77,63.95,12.6,93.73,48.26,20.36,110.26,75.16,9.06,2.87,81.99,38.37,43.78,7.8,40.36,56.22,62.01,58.04201577,84.05823982,13.77107724,48.95626243,16.38410279,5.874015168,4.890089117,74.2973739,69.51102011,15.73785109,,,,4.383089164,,,3.358603968,118454.5146,123151.9448,93402.30416
1998,II,I,41.58,55.15,89.21,97.49,89.21,89.53,54.11,45.52,17.82,90.46,46.61,27.4,101.25,71.99,8.98,3.06,73.26,36.1,45.96,22.07,35.81,54.04,70.03,62.7157172,75.64533239,13.71389984,47.32288782,17.02762745,7.299791546,4.308344226,73.88663968,67.61920585,1.684996469,,,,,,,,121533.716,126547.932,108931.6638
2000,II,I,28.63,68.5,94.96,99.56,94.96,98.19,58.8,43.01,15.95,88.96,63.79,25.64,103.84,80.68,9.31,2.05,75.03,33.4,45.13,26.42,33.21,54.87,59.46,54.05405405,81.07039684,13.15130688,44.35391973,20.24872363,6.667623756,4.677817419,74.26759117,51.0263674,5.529122231,9.099264706,0.056257999,2.458474564,2.627248562,15.96985283,51.26488095,4.305143388,141082.8609,148985.8386,115279.7985
2003,II,I,37.61,55.24,91.54,98.35,91.54,95.76,58.32,51.62,20.58,95.54,62.85,25.06,111.19,87.75,9.43,1.26,72.18,36.72,48.68,16.79,40.51,51.32,72.95,59.56041537,77.46044516,13.12121267,45.62353284,16.81527851,5.771295471,4.599347171,82.31759136,46.36034633,11.11853088,26.56689778,2.690603375,14.33015661,5.282566468,39.97821159,36.79676512,5.837987131,153643.0834,162649.5503,126414.8688
2006,II,I,29.64,72.89,97.94,99.79,97.94,98.23,64.04,41.47,25.75,88.18,60.11,36.9,99.78,92.32,9.47,1.88,74.42,37,45.96,16.97,38.16,54.04,80.26,65.05049176,69.15430992,9.768934739,41.90301404,16.75344415,11.4473514,4.917034387,87.50400513,41.08108108,7.653260445,35.65407607,4.519469131,20.63778479,7.177186799,41.56269374,82.13769636,10.28685138,226445.6493,236680.1175,147917.0093
2009,II,I,18.37,66.76,95.28,99.8,95.28,96.04,60.43,27.11,34.3,90.87,67.29,42.4,100.81,89.87,9.27,2.41,71.93,33.54,42.73,14.14,36.68,57.27,67.87,53.11883216,84.35060326,12.16503615,39.55401504,18.06655384,12.75147742,4.380282248,92.33078944,54.01939318,12.9131223,57.2922941,24.22834266,42.83212096,9.654876588,43.58138581,88.69655205,12.01944559,248159.1349,279777.9575,203951.6692
1990,II,II,34.69,42.81,57.82,98.77,76.65,72.1,53.06,59.5,14.74,93.73,51.52,20.2,111.48,65.49,8.78,4.06,81.62,28.45,45.09,8.28,41.35,54.91,87.07,,76.75449519,12.1466305,39.07053113,22.6798972,6.721159338,4.273120138,72.23690782,38.51599274,4.232081911,,,,,,,,74773.61905,76203.35203,49606.44939
