year,region,zona,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
1998,IX,R,24.00,69.48,13.82,58.50,13.82,83.90,80.76,54.52,5.01,90.93,38.76,3.73,7.40,108.68,55.05,4.12,5.97,15.65,56.98,51.19,46.59,6.26,43.67,53.41,58.11,24.9,47.4,8.6,36.0,17.7,13.8,4.2,89.1,46.5,5.7,37.1,30.2,31.4,,,,,,,,176243,189470,103697
2000,IX,R,22.39,69.30,22.40,75.33,22.40,86.35,76.73,54.16,8.85,93.45,47.43,5.79,11.70,110.37,70.51,7.21,6.37,13.74,53.34,58.16,43.34,7.08,40.27,56.66,61.97,30.3,58.1,8.0,34.6,16.9,14.4,4.1,90.8,47.6,10.8,34.7,28.2,29.0,6.8,0.9,1.9,53.9,18.2,27.1,8.1,229632,243432,147194
2003,IX,R,20.46,74.05,20.01,87.13,20.01,88.45,85.86,51.16,13.02,92.58,55.15,4.81,20.27,109.65,79.17,6.47,6.51,15.19,51.54,60.29,43.83,8.11,40.27,56.17,58.42,29.2,53.7,7.4,34.1,16.0,15.1,4.0,94.6,46.0,8.2,29.4,23.7,24.0,15.9,0.2,1.9,64.3,22.5,41.9,3.8,215613,236706,119298
2006,IX,R,16.21,64.54,32.37,91.86,32.37,91.48,78.41,51.15,18.89,93.10,65.65,7.57,24.85,107.95,87.55,9.63,7.03,12.89,43.50,61.57,45.99,6.56,42.97,54.01,69.28,36.4,52.2,7.5,32.2,15.4,15.8,3.7,95.0,44.3,10.4,20.5,16.1,17.2,31.7,1.2,5.4,58.9,23.2,66.2,9.0,272719,295549,161631
2009,IX,R,12.68,61.19,40.14,95.66,40.14,91.77,76.30,52.86,26.79,93.29,64.38,12.35,32.99,111.14,85.36,14.79,7.15,12.43,45.48,63.49,41.46,13.85,35.71,58.54,67.68,30.1,53.6,6.8,28.5,15.7,18.8,3.5,94.0,49.3,11.5,25.6,21.0,22.0,48.9,2.9,9.0,62.7,15.6,81.2,11.1,285134,329505,210204
1990,RM,R,30.96,42.96,34.44,91.77,40.46,87.61,46.18,59.16,10.25,88.96,47.02,3.43,15.84,101.31,63.16,4.32,7.43,8.20,72.81,46.58,54.18,4.50,51.74,45.82,77.34,,77.1,11.8,36.9,22.7,9.2,4.4,78.6,37.4,2.4,29.1,26.3,25.1,,,,,,,,139299,140857,67807
1992,RM,R,26.99,35.31,25.22,88.02,26.04,91.20,62.80,60.47,9.38,87.58,42.21,4.08,19.91,99.18,57.14,4.46,7.10,10.25,71.44,48.61,53.36,2.71,51.92,46.64,75.09,55.1,76.9,11.1,37.2,20.9,9.1,4.1,74.1,60.9,3.9,28.0,23.8,23.2,,,,,,,,166720,169136,91578
1994,RM,R,27.85,48.93,36.20,96.33,38.17,93.05,59.41,62.09,13.37,89.75,47.55,7.07,21.73,102.51,66.78,7.58,7.67,6.88,61.89,52.16,53.67,2.23,52.47,46.33,62.32,59.9,76.6,11.0,37.5,21.5,8.1,4.3,77.5,52.4,5.3,25.1,20.6,20.2,,,,,,,,211345,213970,115386
1996,RM,R,18.95,57.62,50.85,98.22,50.85,96.24,60.96,65.86,16.77,87.47,59.40,13.23,30.56,100.44,75.75,15.45,7.94,8.37,58.00,58.40,53.82,3.00,52.20,46.18,70.96,59.7,79.0,8.4,33.7,18.4,9.6,4.0,67.0,58.3,8.3,14.1,12.9,11.4,,,,1.0,,,3.4,352834,357264,184854
1998,RM,R,23.56,52.10,43.33,98.08,43.33,95.40,60.22,63.23,18.27,91.78,56.60,7.54,27.81,102.05,75.78,9.92,7.66,9.67,67.54,57.93,54.41,6.45,50.90,45.59,67.25,55.9,76.7,8.5,34.6,18.8,10.0,4.1,69.6,62.0,8.0,13.8,11.4,11.2,,,,,,,,403775,409306,210645
